POC:	Eric Stoneking (NASA-GSFC), 301-286-8600		
			
Nominal 6 Reaction Wheel Case			
SLEW ANGLE	SLEW DURATION	SLEW-SETTLE DURATION	SETTLE DURATION
(DEG)	(SEC)	(SEC)	(SEC)
			
0.00	10.30	20.31	10.01
0.01	10.30	20.31	10.01
0.02	13.74	23.76	10.02
0.03	16.37	26.40	10.03
0.04	18.60	28.64	10.04
0.05	20.56	30.61	10.05
0.06	22.33	32.39	10.06
0.07	23.96	34.03	10.07
0.08	25.47	35.55	10.08
0.09	26.90	36.99	10.09
0.10	28.24	38.34	10.10
0.11	29.52	39.63	10.11
0.12	30.75	40.87	10.12
0.13	31.92	42.05	10.13
0.14	33.05	43.19	10.14
0.15	34.14	44.29	10.15
0.16	35.19	45.35	10.16
0.17	36.22	46.39	10.17
0.18	37.21	47.39	10.18
0.19	38.17	48.36	10.19
0.20	39.11	49.31	10.20
0.21	40.03	50.24	10.21
0.22	40.92	51.14	10.22
0.23	41.80	52.03	10.23
0.24	42.65	52.89	10.24
0.25	43.49	53.74	10.25
0.26	44.31	54.57	10.26
0.27	45.12	55.39	10.27
0.28	45.91	56.19	10.28
0.29	46.69	56.98	10.29
0.30	47.45	57.75	10.30
0.31	48.20	58.51	10.31
0.32	48.94	59.26	10.32
0.33	49.67	60.00	10.33
0.34	50.39	60.73	10.34
0.35	51.09	61.44	10.35
0.36	51.79	62.15	10.36
0.37	52.48	62.85	10.37
0.38	53.16	63.54	10.38
0.39	53.82	64.21	10.39
0.40	54.48	64.88	10.40
0.41	55.14	65.55	10.41
0.42	55.78	66.20	10.42
0.43	56.42	66.85	10.43
0.44	57.05	67.49	10.44
0.45	57.67	68.12	10.45
0.46	58.28	68.74	10.46
0.47	58.89	69.36	10.47
0.48	59.49	69.97	10.48
0.49	60.09	70.58	10.49
0.50	60.68	71.18	10.50
0.51	61.26	71.77	10.51
0.52	61.84	72.36	10.52
0.53	62.41	72.94	10.53
0.54	62.98	73.52	10.54
0.55	63.54	74.09	10.55
0.56	64.10	74.66	10.56
0.57	64.65	75.22	10.57
0.58	65.20	75.78	10.58
0.59	65.74	76.33	10.59
0.60	66.28	76.88	10.60
0.61	66.81	77.42	10.61
0.62	67.34	77.96	10.62
0.63	67.87	78.50	10.63
0.64	68.39	79.03	10.64
0.65	68.90	79.55	10.65
0.66	69.42	80.08	10.66
0.67	69.93	80.60	10.67
0.68	70.43	81.11	10.68
0.69	70.93	81.62	10.69
0.70	71.43	82.13	10.70
0.71	71.92	82.63	10.71
0.72	72.41	83.13	10.72
0.73	72.90	83.63	10.73
0.74	73.39	84.13	10.74
0.75	73.87	84.62	10.75
0.76	74.34	85.10	10.76
0.77	74.82	85.59	10.77
0.78	75.29	86.07	10.78
0.79	75.76	86.55	10.79
0.80	76.22	87.02	10.80
0.81	76.69	87.50	10.81
0.82	77.15	87.97	10.82
0.83	77.60	88.43	10.83
0.84	78.06	88.90	10.84
0.85	78.51	89.36	10.85
0.86	78.96	89.82	10.86
0.87	79.40	90.27	10.87
0.88	79.85	90.73	10.88
0.89	80.29	91.18	10.89
0.90	80.73	91.63	10.90
0.91	81.16	92.07	10.91
0.92	81.60	92.52	10.92
0.93	82.03	92.96	10.93
0.94	82.46	93.40	10.94
0.95	82.88	93.83	10.95
0.96	83.31	94.27	10.96
0.97	83.73	94.70	10.97
0.98	84.15	95.13	10.98
0.99	84.57	95.56	10.99
1.00	84.98	95.98	11.00
1.01	85.40	96.41	11.01
1.02	85.81	96.83	11.02
1.03	86.22	97.25	11.03
1.04	86.63	97.67	11.04
1.05	87.03	98.08	11.05
1.06	87.44	98.50	11.06
1.07	87.84	98.91	11.07
1.08	88.24	99.32	11.08
1.09	88.64	99.73	11.09
1.10	89.04	100.14	11.10
1.11	89.43	100.54	11.11
1.12	89.82	100.94	11.12
1.13	90.21	101.34	11.13
1.14	90.60	101.74	11.14
1.15	90.99	102.14	11.15
1.16	91.38	102.54	11.16
1.17	91.76	102.93	11.17
1.18	92.14	103.32	11.18
1.19	92.53	103.72	11.19
1.20	92.91	104.11	11.20
1.21	93.28	104.49	11.21
1.22	93.66	104.88	11.22
1.23	94.03	105.26	11.23
1.24	94.41	105.65	11.24
1.25	94.78	106.03	11.25
1.26	95.15	106.41	11.26
1.27	95.52	106.79	11.27
1.28	95.89	107.17	11.28
1.29	96.25	107.54	11.29
1.30	96.62	107.92	11.30
1.31	96.98	108.29	11.31
1.32	97.34	108.66	11.32
1.33	97.70	109.03	11.33
1.34	98.06	109.40	11.34
1.35	98.42	109.77	11.35
1.36	98.78	110.14	11.36
1.37	99.13	110.50	11.37
1.38	99.49	110.87	11.38
1.39	99.84	111.23	11.39
1.40	100.19	111.59	11.40
1.41	100.54	111.95	11.41
1.42	100.89	112.31	11.42
1.43	101.24	112.67	11.43
1.44	101.58	113.02	11.44
1.45	101.93	113.38	11.45
